Period,Impact Category,All Firms,US,UK,Germany,Australia
Impacts over last 3 years,Large negative impact reducing employment by >5%,0.9268578076525338,1.6,1.2,0.46,0.6645
Impacts over last 3 years,Small negative impact reducing employment by <5%,4.134996001378835,4.8,6.57,1.47,4.9834
Impacts over last 3 years,No impact,90.52406938986556,89.2,88.89,95,81.3953
Impacts over last 3 years,Small positive impact increasing employment by <5%,3.217072871423647,3.7,2.79,1.7,9.4684
Impacts over last 3 years,Large positive impact increasing employment by >5%,1.2106337125129265,0.8,0.54,1.37,3.4884
Impacts over last 3 years,Cumulative impact over past 3 years (%),-0.0016648853843502405,-0.0875,-0.14400000000000002,0.07400000000000001,0.3239175
Expected impacts over next 3 years,Large negative impact reducing employment by >5%,8.455095572207084,12.1,13.66,3.19,5.3156
Expected impacts over next 3 years,Small negative impact reducing employment by <5%,18.337399761580382,31.1,27.14,6.98,11.2957
Expected impacts over next 3 years,No impact,62.64174335831063,41.9,50.69,80.95,66.9435
Expected impacts over next 3 years,Small positive impact increasing employment by <5%,7.619689339237056,12.4,5.95,6.29,10.1329
Expected impacts over next 3 years,Large positive impact increasing employment by >5%,2.9421738079019075,2.5,2.56,2.58,6.3123
Expected impacts over next 3 years,Cumulative impact over next 3 years (%),-0.6814118928814714,-1.1875,-1.3622500000000002,-0.06299999999999997,0.04568250000000013
